OrderID,OrderDate,OrderTime,StoreID,EmpID,Items,Revenue,Sales Tax,Total Charge,Payment,CustZipCode
S06121,1/4/2016,1:46:21 PM,Store05,MC26,2,306.99,15.35,322.34,Check,46201
S06122,1/4/2016,2:32:38 PM,Store02,WG86,7,1219.27,60.96,1280.23,Credit Card,19128
S06123,1/4/2016,3:19:45 PM,Store04,MG89,4,299.96,15.00,314.96,Check,60659
S06124,1/4/2016,4:06:27 PM,Store04,IW76,1,179.99,9.00,188.99,Other,60608
S06125,1/4/2016,4:53:58 PM,Store01,SL44,1,179.00,8.95,187.95,Credit Card,07102
S06126,1/4/2016,5:43:33 PM,Store05,MM20,2,85.98,4.30,90.28,Credit Card,46218
S06127,1/4/2016,6:30:39 PM,Store02,WG86,1,309.99,15.50,325.49,Credit Card,19012
S06128,1/4/2016,7:19:24 PM,Store05,MB11,1,39.99,2.00,41.99,Other,46033
S06129,1/4/2016,8:08:59 PM,Store04,JL35,2,59.98,3.00,62.98,Credit Card,60077
S06130,1/5/2016,9:47:07 AM,Store01,DC33,1,144.75,7.24,151.99,Credit Card,10453
S06131,1/5/2016,10:36:16 AM,Store05,LG92,1,9.00,0.45,9.45,Cash,46048
S06132,1/5/2016,11:23:48 AM,Store01,DL83,1,44.99,2.25,47.24,Credit Card,11417
S06133,1/5/2016,12:11:44 PM,Store04,DB14,1,235.00,11.75,246.75,Credit Card,60067
S06134,1/5/2016,1:01:18 PM,Store01,ZW62,3,513.85,25.69,539.54,Credit Card,10112
S06135,1/5/2016,1:50:28 PM,Store05,NH48,1,198.00,9.90,207.90,Other,46229
S06136,1/5/2016,2:37:35 PM,Store01,CH12,4,235.99,11.80,247.79,Check,11570
S06137,1/5/2016,3:26:45 PM,Store01,NC86,6,1579.94,79.00,1658.94,Credit Card,11436
S06138,1/5/2016,4:13:51 PM,Store01,MB55,2,288.98,14.45,303.43,Credit Card,10019
S06139,1/5/2016,5:00:08 PM,Store04,LL40,2,37.98,1.90,39.88,Credit Card,60626
S06140,1/5/2016,5:48:53 PM,Store05,MB55,3,387.98,19.40,407.38,Check,46235
S06141,1/5/2016,6:38:03 PM,Store02,CB81,4,275.96,13.80,289.76,Credit Card,08031
S06142,1/5/2016,7:25:35 PM,Store05,RP63,1,68.99,3.45,72.44,Check,46254
S06143,1/5/2016,8:13:06 PM,Store02,DH74,2,239.98,12.00,251.98,Check,19446
S06144,1/6/2016,9:58:09 AM,Store01,MW25,2,157.84,7.89,165.73,Credit Card,07010
S06145,1/6/2016,10:55:28 AM,Store01,RV28,2,298.00,14.90,312.90,Credit Card,10280
S06146,1/6/2016,11:53:37 AM,Store04,RF14,1,199.00,9.95,208.95,Check,60661
S06147,1/6/2016,12:50:32 PM,Store03,GW33,1,27.99,1.40,29.39,Cash,23083
S06148,1/6/2016,1:46:38 PM,Store01,BP42,1,229.99,11.50,241.49,Credit Card,10019
S06149,1/6/2016,2:44:22 PM,Store02,SB21,1,132.99,6.65,139.64,Credit Card,08046
S06150,1/6/2016,3:41:41 PM,Store03,MC13,1,75.00,3.75,78.75,Credit Card,20602
S06151,1/6/2016,4:37:22 PM,Store05,VW24,1,80.99,4.05,85.04,Credit Card,46282
S06152,1/6/2016,5:33:28 PM,Store03,RL72,3,862.70,43.14,905.84,Credit Card,22039
S06153,1/6/2016,6:28:19 PM,Store02,BH39,2,279.98,14.00,293.98,Check,19112
S06154,1/6/2016,7:24:25 PM,Store05,DL83,1,30.99,1.55,32.54,Credit Card,46239
S06155,1/6/2016,8:20:05 PM,Store04,PL31,2,668.50,33.43,701.93,Check,60133
S06156,1/7/2016,10:09:20 AM,Store05,JI46,2,49.89,2.49,52.38,Credit Card,46205
S06157,1/7/2016,11:17:00 AM,Store03,RG28,2,359.98,18.00,377.98,Credit Card,20744
S06158,1/7/2016,12:25:06 PM,Store05,NR85,3,539.97,27.00,566.97,Check,46236
S06159,1/7/2016,1:34:50 PM,Store03,KF42,2,396.00,19.80,415.80,Credit Card,21035
S06160,1/7/2016,2:44:59 PM,Store01,WJ47,1,24.99,1.25,26.24,Cash,10301
S06161,1/7/2016,3:53:29 PM,Store03,SN94,1,419.40,20.97,440.37,Credit Card,20759
S06162,1/7/2016,5:03:13 PM,Store02,MM95,4,446.50,22.33,468.83,Other,19046
S06163,1/7/2016,6:12:58 PM,Store02,MM66,2,288.99,14.45,303.44,Credit Card,19096
S06164,1/7/2016,7:22:42 PM,Store01,ZW62,2,149.98,7.50,157.48,Credit Card,07110
S06165,1/7/2016,8:32:51 PM,Store02,PP89,1,24.99,1.25,26.24,Check,08026
S06166,1/8/2016,9:41:05 AM,Store03,CM38,3,539.97,27.00,566.97,Credit Card,20016
S06167,1/8/2016,10:21:22 AM,Store01,HM67,3,353.55,17.68,371.23,Check,10168
S06168,1/8/2016,11:04:31 AM,Store04,CM17,1,49.99,2.50,52.49,Credit Card,60402
S06169,1/8/2016,11:46:01 AM,Store01,MM20,3,55.39,2.77,58.16,Credit Card,10454
S06170,1/8/2016,12:29:10 PM,Store03,NR85,3,1258.20,62.91,1321.11,Credit Card,43205
S06171,1/8/2016,1:12:19 PM,Store02,LM13,3,314.49,15.72,330.21,Credit Card,19103
S06172,1/8/2016,1:53:49 PM,Store03,RL72,1,114.99,5.75,120.74,Credit Card,20895
S06173,1/8/2016,2:35:19 PM,Store02,JH82,1,33.99,1.70,35.69,Credit Card,19044
S06174,1/8/2016,3:15:35 PM,Store04,KB69,3,179.97,9.00,188.97,Credit Card,60701
S06175,1/8/2016,3:57:55 PM,Store03,JC61,2,289.50,14.48,303.98,Credit Card,49423
S06176,1/8/2016,4:38:11 PM,Store02,RM20,5,2999.95,150.00,3149.95,Credit Card,19454
S06177,1/8/2016,5:18:27 PM,Store03,CT25,1,42.99,2.15,45.14,Check,20902
S06178,1/8/2016,5:58:43 PM,Store05,WM89,2,619.98,31.00,650.98,Credit Card,46216
S06179,1/8/2016,6:41:52 PM,Store01,GW29,2,359.98,18.00,377.98,Credit Card,10172
S06180,1/8/2016,7:23:22 PM,Store05,SF12,6,1145.49,57.27,1202.76,Credit Card,46231
S06181,1/8/2016,8:04:03 PM,Store01,PD90,3,164.97,8.25,173.22,Credit Card,10016
S06182,1/9/2016,9:50:15 AM,Store01,RC55,2,63.19,3.16,66.35,Credit Card,10027
S06183,1/9/2016,10:40:54 AM,Store04,BP42,1,139.99,7.00,146.99,Check,60164
S06184,1/9/2016,11:31:58 AM,Store02,CM17,2,49.98,2.50,52.48,Credit Card,19010
S06185,1/9/2016,12:24:40 PM,Store03,ML87,1,34.20,1.71,35.91,Check,21010
S06186,1/9/2016,1:18:12 PM,Store01,SL81,2,67.98,3.40,71.38,Credit Card,10044
S06187,1/9/2016,2:09:16 PM,Store01,KR93,2,74.98,3.75,78.73,Credit Card,11419
S06188,1/9/2016,3:00:45 PM,Store03,AM79,3,95.97,4.80,100.77,Credit Card,22044
S06189,1/9/2016,3:52:13 PM,Store01,BW60,1,269.99,13.50,283.49,Credit Card,10306
S06190,1/9/2016,4:42:52 PM,Store04,TM83,2,51.39,2.57,53.96,Credit Card,53235
S06191,1/9/2016,5:36:00 PM,Store02,JI46,1,111.99,5.60,117.59,Credit Card,65802
S06192,1/9/2016,6:26:14 PM,Store02,KA47,1,309.99,15.50,325.49,Credit Card,19121
S06193,1/9/2016,7:18:07 PM,Store05,BW60,1,80.99,4.05,85.04,Other,46110
S06194,1/9/2016,8:09:36 PM,Store05,CR23,2,37.98,1.90,39.88,Other,46239
S06195,1/10/2016,9:46:09 AM,Store01,KG79,1,5.99,0.30,6.29,Cash,11096
S06196,1/10/2016,10:29:50 AM,Store01,SS82,1,279.00,13.95,292.95,Check,07022
S06197,1/10/2016,11:14:45 AM,Store02,CS42,1,31.99,1.60,33.59,Credit Card,19031
S06198,1/10/2016,11:58:25 AM,Store03,NR85,2,384.99,19.25,404.24,Check,20189
S06199,1/10/2016,12:41:17 PM,Store01,EW48,1,59.99,3.00,62.99,Other,10303
S06200,1/10/2016,1:27:01 PM,Store01,JD87,4,99.96,5.00,104.96,Credit Card,11238
S06201,1/10/2016,2:11:56 PM,Store03,NW60,6,1237.98,61.90,1299.88,Credit Card,20391
S06202,1/10/2016,2:56:51 PM,Store05,JD91,1,89.99,4.50,94.49,Credit Card,46203
S06203,1/10/2016,3:42:10 PM,Store04,SB49,1,31.99,1.60,33.59,Check,60827
S06204,1/10/2016,4:25:51 PM,Store02,MC26,1,9.00,0.45,9.45,Check,08031
S06205,1/10/2016,5:11:35 PM,Store04,PC94,1,34.99,1.75,36.74,Credit Card,60701
S06206,1/10/2016,5:54:51 PM,Store04,PD90,1,80.99,4.05,85.04,Credit Card,60305
S06207,1/10/2016,6:40:11 PM,Store05,PK18,6,2298.99,114.95,2413.94,Credit Card,46225
S06208,1/10/2016,7:25:31 PM,Store01,DB97,1,79.00,3.95,82.95,Credit Card,11003
S06209,1/10/2016,8:11:39 PM,Store05,JY21,1,349.99,17.50,367.49,Credit Card,46278
S06210,1/11/2016,9:53:07 AM,Store02,NF75,2,494.74,24.74,519.48,Check,19033
S06211,1/11/2016,10:46:39 AM,Store05,EG59,3,234.59,11.73,246.32,Credit Card,46227
S06212,1/11/2016,11:38:57 AM,Store04,DM79,2,59.98,3.00,62.98,Other,60654
S06213,1/11/2016,12:30:26 PM,Store03,CJ91,1,309.99,15.50,325.49,Check,89101
S06214,1/11/2016,1:23:58 PM,Store02,MM24,1,27.99,1.40,29.39,Credit Card,19120
S06215,1/11/2016,2:16:40 PM,Store03,ML87,2,489.98,24.50,514.48,Credit Card,20735
S06216,1/11/2016,3:08:34 PM,Store04,ML87,2,265.98,13.30,279.28,Credit Card,60626
S06217,1/11/2016,4:01:16 PM,Store01,SS82,4,524.60,26.23,550.83,Check,10456
S06218,1/11/2016,4:54:24 PM,Store05,CH12,2,267.35,13.37,280.72,Credit Card,46208
S06219,1/11/2016,5:44:38 PM,Store01,KD80,1,24.99,1.25,26.24,Other,54979
S06220,1/11/2016,6:38:10 PM,Store02,CM38,1,27.99,1.40,29.39,Credit Card,19112
S06221,1/11/2016,7:31:42 PM,Store04,RC69,2,279.98,14.00,293.98,Other,60706
S06222,1/11/2016,8:23:35 PM,Store02,VB51,2,169.74,8.49,178.23,Credit Card,08065
S06223,1/12/2016,9:51:29 AM,Store05,CR46,1,629.00,31.45,660.45,Check,46218
S06224,1/12/2016,10:44:36 AM,Store03,SS79,3,422.97,21.15,444.12,Credit Card,24281
S06225,1/12/2016,11:34:50 AM,Store02,RP63,1,39.99,2.00,41.99,Check,19124
S06226,1/12/2016,12:26:19 PM,Store03,CW22,2,453.39,22.67,476.06,Credit Card,20762
S06227,1/12/2016,1:19:51 PM,Store05,JH82,1,5.99,0.30,6.29,Cash,46163
S06228,1/12/2016,2:11:19 PM,Store04,CF23,1,144.75,7.24,151.99,Credit Card,60104
S06229,1/12/2016,3:03:13 PM,Store04,WJ47,1,235.00,11.75,246.75,Credit Card,60647
S06230,1/12/2016,3:53:52 PM,Store04,MS64,1,39.99,2.00,41.99,Other,60523
S06231,1/12/2016,4:46:59 PM,Store04,SG59,5,351.91,17.60,369.51,Check,60649
S06232,1/12/2016,5:37:14 PM,Store03,SS82,4,299.96,15.00,314.96,Credit Card,22043
S06233,1/12/2016,6:29:07 PM,Store05,SN94,1,25.99,1.30,27.29,Credit Card,47438
S06234,1/12/2016,7:21:50 PM,Store01,RW44,1,34.20,1.71,35.91,Check,07470
S06235,1/12/2016,8:15:22 PM,Store01,WM89,2,77.98,3.90,81.88,Check,10151
S06236,1/13/2016,9:41:55 AM,Store01,DC33,6,498.58,24.93,523.51,Credit Card,11432
S06237,1/13/2016,10:25:04 AM,Store05,JM45,5,243.03,12.15,255.18,Credit Card,47441
S06238,1/13/2016,11:06:59 AM,Store05,DM43,2,54.60,2.73,57.33,Check,46203
S06239,1/13/2016,11:48:53 AM,Store04,TW57,2,161.98,8.10,170.08,Credit Card,60005
S06240,1/13/2016,12:30:48 PM,Store02,AC52,1,42.99,2.15,45.14,Credit Card,08027
S06241,1/13/2016,1:11:54 PM,Store04,CR23,1,33.99,1.70,35.69,Credit Card,60456
S06242,1/13/2016,1:51:45 PM,Store05,CT25,5,560.26,28.01,588.27,Credit Card,46112
S06243,1/13/2016,2:31:37 PM,Store03,RH32,1,24.99,1.25,26.24,Credit Card,20005
S06244,1/13/2016,3:12:42 PM,Store01,SS82,4,198.96,9.95,208.91,Credit Card,07078
S06245,1/13/2016,3:55:26 PM,Store02,SY50,6,381.26,19.06,400.32,Credit Card,08103
S06246,1/13/2016,4:38:35 PM,Store01,AC52,3,435.99,21.80,457.79,Check,10174
S06247,1/13/2016,5:20:30 PM,Store04,LG92,2,289.50,14.48,303.98,Credit Card,60630
S06248,1/13/2016,6:00:46 PM,Store04,AC89,1,144.75,7.24,151.99,Credit Card,60025
S06249,1/13/2016,6:42:41 PM,Store04,CH12,2,49.98,2.50,52.48,Check,60130
S06250,1/13/2016,7:24:11 PM,Store03,NW60,4,1458.98,72.95,1531.93,Check,21046
S06251,1/13/2016,8:06:06 PM,Store01,NF75,2,112.40,5.62,118.02,Credit Card,11693
S06252,1/14/2016,9:56:30 AM,Store03,HS21,2,229.98,11.50,241.48,Check,22042
S06253,1/14/2016,10:52:36 AM,Store02,SS79,4,365.98,18.30,384.28,Check,19029
S06254,1/14/2016,11:49:06 AM,Store01,MM95,1,31.99,1.60,33.59,Other,11220
S06255,1/14/2016,12:44:47 PM,Store04,SL44,2,59.98,3.00,62.98,Credit Card,26202
S06256,1/14/2016,1:40:52 PM,Store01,BW61,1,11.90,0.60,12.50,Cash,46540
S06257,1/14/2016,2:36:58 PM,Store03,JT13,1,179.99,9.00,188.99,Check,20374
S06258,1/14/2016,3:32:14 PM,Store03,DL94,2,558.00,27.90,585.90,Check,22042
S06259,1/14/2016,4:30:23 PM,Store01,LS14,2,75.19,3.76,78.95,Cash,07423
S06260,1/14/2016,5:28:07 PM,Store04,VB51,1,179.99,9.00,188.99,Credit Card,60154
S06261,1/14/2016,6:23:23 PM,Store01,MS64,4,243.96,12.20,256.16,Credit Card,10011
S06262,1/14/2016,7:21:32 PM,Store03,MS27,1,89.99,4.50,94.49,Credit Card,20037
S06263,1/14/2016,8:17:37 PM,Store01,SN94,1,29.99,1.50,31.49,Credit Card,07304
S06264,1/15/2016,9:50:39 AM,Store01,SL81,6,1552.98,77.65,1630.63,Credit Card,11362
S06265,1/15/2016,10:41:18 AM,Store05,LM25,3,479.97,24.00,503.97,Credit Card,46214
S06266,1/15/2016,11:33:36 AM,Store01,BS22,2,231.99,11.60,243.59,Credit Card,07106
S06267,1/15/2016,12:23:51 PM,Store01,LT29,1,254.30,12.72,267.02,Credit Card,11231
S06268,1/15/2016,1:17:23 PM,Store02,AF67,2,239.98,12.00,251.98,Credit Card,08077
S06269,1/15/2016,2:10:30 PM,Store02,JH71,1,229.99,11.50,241.49,Credit Card,08066
S06270,1/15/2016,3:01:34 PM,Store05,BK87,1,79.95,4.00,83.95,Credit Card,46219
S06271,1/15/2016,3:55:06 PM,Store03,RF14,1,9.00,0.45,9.45,Cash,20006
S06272,1/15/2016,4:46:35 PM,Store03,FW36,2,538.55,26.93,565.48,Credit Card,20833
S06273,1/15/2016,5:37:38 PM,Store04,PP89,1,249.99,12.50,262.49,Credit Card,53405
S06274,1/15/2016,6:29:56 PM,Store05,SO60,8,565.60,28.28,593.88,Credit Card,46201
S06275,1/15/2016,7:20:11 PM,Store01,KG79,4,579.00,28.95,607.95,Credit Card,11109
S06276,1/15/2016,8:10:25 PM,Store05,HW53,3,210.98,10.55,221.53,Credit Card,78257
S06277,1/16/2016,9:40:05 AM,Store05,MD59,3,419.97,21.00,440.97,Credit Card,46220
S06278,1/16/2016,10:19:46 AM,Store02,ML87,1,80.99,4.05,85.04,Check,19074
S06279,1/16/2016,10:59:52 AM,Store03,NC86,2,149.84,7.49,157.33,Credit Card,01778
S06280,1/16/2016,11:38:43 AM,Store03,WJ47,1,235.00,11.75,246.75,Credit Card,20710
S06281,1/16/2016,12:16:20 PM,Store02,TB27,2,114.40,5.72,120.12,Check,19113
S06282,1/16/2016,12:54:47 PM,Store03,SL81,1,119.99,6.00,125.99,Credit Card,20905
S06283,1/16/2016,1:34:03 PM,Store05,GS28,3,1881.00,94.05,1975.05,Credit Card,46216
S06284,1/16/2016,2:11:15 PM,Store03,AB28,3,489.97,24.50,514.47,Credit Card,22060
S06285,1/16/2016,2:49:17 PM,Store02,WG86,5,1034.95,51.75,1086.70,Check,19085
S06286,1/16/2016,3:28:09 PM,Store01,TM83,4,374.96,18.75,393.71,Check,10106
S06287,1/16/2016,4:08:14 PM,Store02,DW43,5,522.95,26.15,549.10,Credit Card,19147
S06288,1/16/2016,4:48:20 PM,Store03,MD59,2,588.40,29.42,617.82,Credit Card,22746
S06289,1/16/2016,5:25:57 PM,Store02,JC39,2,1199.98,60.00,1259.98,Credit Card,19138
S06290,1/16/2016,6:05:38 PM,Store04,RH32,2,138.99,6.95,145.94,Other,60429
S06291,1/16/2016,6:45:43 PM,Store03,NS20,2,25.98,1.30,27.28,Credit Card,20812
S06292,1/16/2016,7:23:20 PM,Store02,MW38,1,199.95,10.00,209.95,Credit Card,19103
S06293,1/16/2016,8:03:01 PM,Store05,SS79,3,1150.20,57.51,1207.71,Credit Card,12918
S06294,1/17/2016,10:26:05 AM,Store01,TM83,2,114.40,5.72,120.12,Credit Card,10035
S06295,1/17/2016,11:51:46 AM,Store04,CH30,1,279.00,13.95,292.95,Check,60563
S06296,1/17/2016,1:18:41 PM,Store03,FM18,1,627.00,31.35,658.35,Check,20019
S06297,1/17/2016,2:46:50 PM,Store02,CD65,1,114.99,5.75,120.74,Credit Card,19444
S06298,1/17/2016,4:13:45 PM,Store01,BW61,2,298.00,14.90,312.90,Credit Card,31721
S06299,1/17/2016,5:39:01 PM,Store02,HW53,2,214.99,10.75,225.74,Credit Card,19033
S06300,1/17/2016,7:04:17 PM,Store05,NS20,1,11.90,0.60,12.50,Cash,45346
S06301,1/17/2016,8:30:47 PM,Store01,JC22,1,39.99,2.00,41.99,Credit Card,11550
S06302,1/18/2016,9:46:42 AM,Store02,RP63,3,447.00,22.35,469.35,Check,08103
S06303,1/18/2016,10:34:38 AM,Store02,MM20,2,558.00,27.90,585.90,Credit Card,19462
S06304,1/18/2016,11:20:55 AM,Store01,JH82,2,263.30,13.17,276.47,Check,07074
S06305,1/18/2016,12:07:12 PM,Store04,ET62,3,89.97,4.50,94.47,Check,60645
S06306,1/18/2016,12:56:22 PM,Store01,LS25,1,34.20,1.71,35.91,Other,11575
S06307,1/18/2016,1:42:39 PM,Store02,DC92,4,609.48,30.47,639.95,Credit Card,19143
S06308,1/18/2016,2:29:21 PM,Store02,CC24,7,877.95,43.90,921.85,Credit Card,19079
S06309,1/18/2016,3:16:03 PM,Store05,JC24,4,675.96,33.80,709.76,Check,46113
S06310,1/18/2016,4:05:13 PM,Store03,LS25,2,186.84,9.34,196.18,Credit Card,36853
S06311,1/18/2016,4:53:33 PM,Store01,JC24,1,49.55,2.48,52.03,Credit Card,11242
S06312,1/18/2016,5:40:15 PM,Store04,GR33,2,37.98,1.90,39.88,Credit Card,68514
S06313,1/18/2016,6:27:22 PM,Store01,RB48,1,37.99,1.90,39.89,Credit Card,07647
S06314,1/18/2016,7:14:53 PM,Store01,NF75,2,99.10,4.96,104.06,Credit Card,10174
S06315,1/18/2016,8:02:49 PM,Store01,PP89,1,27.30,1.37,28.67,Check,07201
S06316,1/19/2016,9:53:32 AM,Store04,JD45,2,619.98,31.00,650.98,Check,60625
S06317,1/19/2016,10:43:46 AM,Store04,WS38,1,599.99,30.00,629.99,Credit Card,60302
S06318,1/19/2016,11:36:29 AM,Store02,AC67,1,132.99,6.65,139.64,Other,08027
S06319,1/19/2016,12:27:58 PM,Store01,LC50,1,119.99,6.00,125.99,Check,07058
S06320,1/19/2016,1:20:16 PM,Store02,NC13,2,634.19,31.71,665.90,Credit Card,08029
S06321,1/19/2016,2:12:09 PM,Store05,MA99,1,52.99,2.65,55.64,Other,46032
S06322,1/19/2016,3:05:16 PM,Store02,EG59,1,74.99,3.75,78.74,Credit Card,08090
S06323,1/19/2016,3:56:45 PM,Store04,MB11,1,309.99,15.50,325.49,Credit Card,60641
S06324,1/19/2016,4:49:52 PM,Store05,MW25,1,89.99,4.50,94.49,Credit Card,46216
S06325,1/19/2016,5:40:07 PM,Store02,LT29,4,353.74,17.69,371.43,Credit Card,32901
S06326,1/19/2016,6:31:10 PM,Store03,RF14,4,769.96,38.50,808.46,Credit Card,70001
S06327,1/19/2016,7:21:50 PM,Store03,RH67,1,80.99,4.05,85.04,Credit Card,75442
S06328,1/19/2016,8:14:32 PM,Store05,MR28,3,413.97,20.70,434.67,Check,46290
S06329,1/20/2016,9:56:30 AM,Store04,PD90,5,356.71,17.84,374.55,Credit Card,60171
S06330,1/20/2016,10:53:00 AM,Store01,CS42,5,1159.95,58.00,1217.95,Credit Card,74469
S06331,1/20/2016,11:50:45 AM,Store02,MB11,2,218.00,10.90,228.90,Credit Card,19041
S06332,1/20/2016,12:47:15 PM,Store05,RF14,1,20.99,1.05,22.04,Credit Card,46219
S06333,1/20/2016,1:42:56 PM,Store01,FW36,3,719.97,36.00,755.97,Credit Card,07202
S06334,1/20/2016,2:39:50 PM,Store05,RH45,1,8.40,0.42,8.82,Cash,46280
S06335,1/20/2016,3:35:07 PM,Store01,PM19,2,1199.98,60.00,1259.98,Credit Card,08343
S06336,1/20/2016,4:31:12 PM,Store02,JC61,1,599.99,30.00,629.99,Credit Card,19022
S06337,1/20/2016,5:27:42 PM,Store04,RV25,4,215.97,10.80,226.77,Credit Card,60639
S06338,1/20/2016,6:22:34 PM,Store04,GS28,5,834.71,41.74,876.45,Credit Card,60631
S06339,1/20/2016,7:17:50 PM,Store04,MR55,3,195.97,9.80,205.77,Credit Card,60649
S06340,1/20/2016,8:13:31 PM,Store04,JB26,4,90.96,4.55,95.51,Credit Card,60637
S06341,1/21/2016,9:45:44 AM,Store02,SG59,2,419.98,21.00,440.98,Credit Card,19033
S06342,1/21/2016,10:29:00 AM,Store05,CM38,2,49.98,2.50,52.48,Cash,46074
S06343,1/21/2016,11:13:06 AM,Store01,DW43,2,102.98,5.15,108.13,Credit Card,07205
S06344,1/21/2016,11:55:57 AM,Store01,JC86,1,33.99,1.70,35.69,Credit Card,80742
S06345,1/21/2016,12:41:41 PM,Store03,WL96,3,254.69,12.73,267.42,Check,21029
S06346,1/21/2016,1:26:12 PM,Store01,SC47,2,59.98,3.00,62.98,Credit Card,10281
S06347,1/21/2016,2:09:28 PM,Store04,SO60,1,30.99,1.55,32.54,Credit Card,46614
S06348,1/21/2016,2:52:44 PM,Store03,NE86,1,179.00,8.95,187.95,Credit Card,22081
S06349,1/21/2016,3:38:28 PM,Store05,ME19,1,114.99,5.75,120.74,Credit Card,46149
S06350,1/21/2016,4:22:58 PM,Store02,NL87,4,440.99,22.05,463.04,Other,17037
S06351,1/21/2016,5:05:50 PM,Store02,CM17,4,739.84,36.99,776.83,Credit Card,03841
S06352,1/21/2016,5:49:31 PM,Store01,MB55,2,128.94,6.45,135.39,Credit Card,07103
S06353,1/21/2016,6:35:15 PM,Store03,DH74,6,505.78,25.29,531.07,Credit Card,20783
S06354,1/21/2016,7:20:59 PM,Store03,NC86,2,52.98,2.65,55.63,Credit Card,20018
S06355,1/21/2016,8:05:54 PM,Store05,MB11,1,109.00,5.45,114.45,Credit Card,46217
S06356,1/22/2016,9:39:41 AM,Store05,JC86,1,20.99,1.05,22.04,Credit Card,46227
S06357,1/22/2016,10:20:11 AM,Store05,MC26,4,326.05,16.30,342.35,Credit Card,46250
S06358,1/22/2016,10:57:23 AM,Store05,NK68,3,322.99,16.15,339.14,Check,46231
S06359,1/22/2016,11:35:50 AM,Store03,MS64,2,119.98,6.00,125.98,Credit Card,20770
S06360,1/22/2016,12:16:20 PM,Store04,AB28,3,388.98,19.45,408.43,Credit Card,60615
